x,y,z
-295,-480,414
-262,-578,390
-186,-686,372
-101,-646,361
-57,-595,345
66,-451,319
196,-362,332
243,-376,338
278,-470,311
275,-538,245
314,-511,213
417,-367,186
444,-221,201
463,-156,213
524,-103,208
545,-117,177
528,-136,142
486,-96,103
519,1,114
486,-3,87
355,-135,-13
310,-221,-75
514,-182,-105
621,107,-70
593,140,-53
505,23,-138
389,-90,-214
276,-136,-261
268,-55,-284
269,-37,-291
299,17,-269
330,46,-259
387,96,-238
481,126,-215
477,103,-221
349,-28,-262
219,-26,-305
234,48,-301
293,148,-273
302,111,-270
217,72,-281
217,-74,-357
199,288,-133
269,430,-113
434,297,-287
291,0,-377
202,-89,-394
99,-29,-376
99,50,-369
56,112,-372
28,99,-380
23,92,-392
48,76,-404
21,49,-410
-81,15,-438
-129,28,-459
-205,13,-499
-287,-69,-496
-302,-89,-482
-185,-23,-443
-15,90,-416
38,147,-405
44,166,-381
-5,132,-369
-188,23,-344
-268,13,-349
-295,54,-352
-254,50,-298
-237,33,-261
-264,10,-208
-343,41,-189
-371,69,-154
-469,84,-45
-555,76,15
-581,63,21
-610,25,29
-567,-18,22
-496,-76,13
-473,-94,40
-456,-165,35
-451,-238,37
-450,-245,58
-437,-246,136
-435,-273,199
-449,-298,221
-470,-335,239
-418,-341,253
-380,-380,262
-345,-569,256
-326,-720,279
-312,-716,295
-272,-583,313
-226,-438,351
-214,-400,372
-173,-421,379
-94,-514,363
-43,-522,360
53,-418,358
106,-269,366
112,-204,365
115,-169,349
63,-238,339
42,-281,333
61,-302,300
89,-285,272
117,-271,198
127,-276,163
169,-245,175
241,-139,191
272,-100,138
280,-61,103
304,-78,20
324,-117,-24
336,-214,-45
350,-29,16
377,107,33
461,340,90
535,426,125
545,346,83
503,194,33
360,-64,-92
336,-37,-121
386,74,-99
499,242,-39
481,233,-31
306,69,-79
194,-62,-125
108,-167,-176
258,55,-116
308,141,-100
328,157,-115
232,132,-178
237,118,-196
265,175,-201
230,149,-206
195,110,-219
109,82,-239
151,195,-229
228,282,-200
326,389,-140
220,251,-167
162,115,-215
148,14,-318
198,41,-347
271,124,-373
263,110,-356
251,94,-352
222,156,-361
254,285,-343
264,329,-310
185,300,-294
47,76,-370
1,-26,-429
-4,-119,-540
16,-131,-570
26,-152,-591
-12,-175,-595
-30,-164,-593
-60,-116,-554
-127,-81,-455
-150,-82,-419
-177,-108,-403
-171,-77,-389
-154,-50,-356
-156,-30,-252
-219,-18,-142
-241,-7,-119
-274,36,-157
-307,172,-184
-322,235,-136
-424,222,23
-553,91,93
-577,58,63
-448,138,-29
-375,239,-39
-436,294,39
-561,132,21
-529,31,-29
-404,-145,-35
-367,-226,-9
-368,-301,77
-399,-294,153
-435,-309,159
-479,-308,162
-437,-285,212
-414,-293,251
-419,-349,318
-410,-381,300
-371,-381,267
-281,-365,247
-168,-341,330
-150,-354,374
-159,-387,420
-114,-382,396
-70,-353,366
27,-288,345
93,-241,389
107,-244,414
108,-276,406
111,-289,373
126,-284,330
118,-247,338
110,-222,336
110,-197,304
104,-198,258
84,-186,261
45,-81,287
19,22,277
23,60,282
83,52,296
107,7,263
170,-50,217
228,-55,206
361,-55,180
432,-82,102
426,-107,53
404,-155,-16
384,-155,-31
409,-122,-20
445,-73,24
425,-35,13
437,30,-23
440,28,-53
377,-88,-118
313,-232,-146
331,-237,-157
470,-134,-186
505,-90,-204
466,-124,-217
342,-246,-255
440,-192,-271
511,-52,-245
585,178,-160
356,295,-35
253,283,-19
185,176,-113
212,121,-197
315,54,-281
378,28,-282
339,25,-287
184,-5,-314
130,-37,-344
155,-27,-426
247,22,-433
260,35,-415
175,18,-402
98,-9,-401
-21,-46,-451
-33,-33,-477
3,34,-473
20,71,-429
5,64,-415
-50,29,-413
-81,11,-430
-121,-7,-441
-148,-38,-448
-162,-62,-439
-221,-127,-406
-265,-141,-370
-266,-103,-347
-230,-5,-291
-235,22,-215
-271,3,-187
-369,-51,-165
-410,-34,-161
-399,-11,-139
-434,30,-63
-486,34,-29
-556,1,-22
-505,-9,-52
-488,-13,-30
-538,-49,57
-599,-73,110
-627,-146,158
-589,-189,152
-542,-177,184
-477,-127,273
-502,-136,317
-518,-173,302
-537,-228,259
-507,-218,271
-475,-194,300
-442,-184,366
-494,-256,370
-497,-294,350
-439,-360,317
-368,-448,321
-321,-483,316
-231,-500,317
-160,-474,322
-130,-445,327
-63,-361,345
0,-286,385
14,-267,397
44,-298,394
51,-335,383
78,-391,332
116,-391,300
235,-314,227
310,-258,199
331,-255,195
410,-244,185
450,-262,137
428,-273,95
387,-257,38
456,-141,71
431,-107,78
395,-75,33
441,-52,-3
551,-12,-27
574,15,-8
512,-22,-4
461,-50,-17
392,-48,-75
462,50,-38
470,120,-12
466,109,-26
387,43,-90
311,1,-146
330,23,-166
281,74,-128
277,63,-87
258,20,-77
264,-34,-110
327,-38,-142
316,-2,-204
517,-23,-251
388,81,-156
216,266,-6
226,332,21
378,304,-66
451,250,-119
467,101,-231
388,-89,-324
304,-143,-339
122,-147,-343
25,-87,-372
17,-29,-355
27,53,-297
35,59,-291
103,34,-304
150,24,-327
174,66,-342
220,114,-369
209,114,-360
117,54,-351
-16,-28,-365
-65,-45,-377
-68,15,-402
31,109,-408
68,129,-383
91,119,-340
54,84,-328
-83,-34,-361
-146,-84,-411
-192,-154,-483
-220,-193,-465
-233,-201,-434
-267,-218,-359
-305,-214,-334
-318,-188,-331
-357,-137,-301
-427,-120,-260
-454,-114,-250
-463,-100,-241
-454,-69,-209
-438,-76,-189
-439,-217,-188
-440,-498,-302
-430,-594,-358
-439,-524,-276
-442,-330,-59
-465,-280,38
-501,-245,172
-472,-167,220
-453,-126,247
-465,-87,331
-449,-153,376
-441,-183,392
-428,-210,389
-362,-183,364
-307,-157,350
-275,-177,373
-281,-287,415
-254,-362,408
-178,-479,347
-92,-545,304
-17,-563,308
64,-605,365
51,-672,392
42,-680,388
68,-562,380
79,-462,370
47,-259,373
32,-203,381
17,-206,384
43,-317,331
76,-352,299
182,-312,249
240,-247,244
346,-119,252
373,-108,232
359,-143,210
334,-192,140
319,-190,75
320,-146,64
334,-2,99
361,52,123
350,99,151
315,78,147
260,30,94
345,67,43
404,105,25
423,132,-7
384,114,-16
344,96,-4
374,98,-1
381,87,-30
290,15,-100
324,-27,-119
419,62,-81
492,96,-78
475,26,-123
388,-93,-138
141,-346,-221
86,-218,-214
131,-96,-203
263,94,-172
207,152,-167
250,88,-186
442,74,-207
333,127,-165
211,266,-77
171,384,-31
185,374,-34
193,308,-56
280,284,-89
387,264,-155
309,237,-204
273,233,-223
250,253,-238
291,314,-180
289,333,-134
206,315,-111
111,208,-201
54,133,-266
-25,-6,-364
-17,-42,-384
78,-26,-417
159,-5,-380
161,-20,-378
100,-80,-424
61,-115,-454
-23,-162,-505
-58,-161,-518
-59,-156,-511
-55,-133,-497
-50,-94,-445
-56,-70,-403
-124,-55,-344
-178,-52,-321
-184,-41,-324
-168,-1,-346
-162,3,-323
-181,-1,-292
-238,-38,-247
-291,-91,-225
-302,-111,-218
-330,-126,-203
-383,-150,-182
-432,-170,-157
-482,-191,-97
-462,-160,-38
-427,-110,-6
-406,-32,71
-476,-45,120
-540,-72,138
-572,-147,155
-538,-218,147
-507,-235,161
-419,-244,236
-371,-289,282
-358,-323,269
-368,-360,233
-399,-334,216
-403,-312,226
-373,-284,273
-331,-321,289
